Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,asymmetric,symmetric,0.344547936829928
75% Corpus,7,0.31,0.31,0.32543302559276305
75% Corpus,7,0.31,0.61,0.3686887925761916
75% Corpus,7,0.31,0.9099999999999999,0.48323776919147315
75% Corpus,7,0.31,symmetric,0.3242318648370358
75% Corpus,7,0.61,0.31,0.38677349994103327
75% Corpus,7,0.61,0.61,0.48034533867158913
75% Corpus,7,0.61,0.9099999999999999,0.5097894099022088
75% Corpus,7,0.61,symmetric,0.35993970240740564
75% Corpus,7,0.9099999999999999,0.31,0.37889280835713895
75% Corpus,7,0.9099999999999999,0.61,0.45565541459581277
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4033991702838645
75% Corpus,7,0.9099999999999999,symmetric,0.35169864937272244
75% Corpus,7,symmetric,0.31,0.3669200969108587
75% Corpus,7,symmetric,0.61,0.3532843251585964
75% Corpus,7,symmetric,0.9099999999999999,0.3321461525531112
75% Corpus,7,symmetric,symmetric,0.3382513026376941
75% Corpus,7,asymmetric,0.31,0.4882294799894371
75% Corpus,7,asymmetric,0.61,0.4288162189736007
75% Corpus,7,asymmetric,0.9099999999999999,0.5684028628031624
75% Corpus,7,asymmetric,symmetric,0.3848202224303849
75% Corpus,8,0.31,0.31,0.3535157736660877
75% Corpus,8,0.31,0.61,0.4887806102310735
75% Corpus,8,0.31,0.9099999999999999,0.5023446591867304
75% Corpus,8,0.31,symmetric,0.34311736165744317
75% Corpus,8,0.61,0.31,0.4474567892169015
75% Corpus,8,0.61,0.61,0.58032911464982
75% Corpus,8,0.61,0.9099999999999999,0.44803648719220046
75% Corpus,8,0.61,symmetric,0.3893163070916428
75% Corpus,8,0.9099999999999999,0.31,0.3809769521948803
75% Corpus,8,0.9099999999999999,0.61,0.5489153706796871
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3546378607954459
75% Corpus,8,0.9099999999999999,symmetric,0.35950834622526784
75% Corpus,8,symmetric,0.31,0.3905610112212735
75% Corpus,8,symmetric,0.61,0.4157933361093825
75% Corpus,8,symmetric,0.9099999999999999,0.42407828359579985
