Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,symmetric,0.31,0.406872502092625
75% Corpus,4,symmetric,0.61,0.47061569138384424
75% Corpus,4,symmetric,0.9099999999999999,0.5093566809955212
75% Corpus,4,symmetric,symmetric,0.406872502092625
75% Corpus,4,asymmetric,0.01,0.4086306538560032
75% Corpus,4,asymmetric,0.31,0.42464905026957106
75% Corpus,4,asymmetric,0.61,0.49279689176275787
75% Corpus,4,asymmetric,0.9099999999999999,0.5229099870056165
75% Corpus,4,asymmetric,symmetric,0.41809587102161155
75% Corpus,5,0.01,0.01,0.42835380644327825
75% Corpus,5,0.01,0.31,0.40664158613991563
75% Corpus,5,0.01,0.61,0.43034606089207017
75% Corpus,5,0.01,0.9099999999999999,0.4228486653908913
75% Corpus,5,0.01,symmetric,0.40863898422568967
75% Corpus,5,0.31,0.01,0.45864215646872186
75% Corpus,5,0.31,0.31,0.4308766773292665
75% Corpus,5,0.31,0.61,0.5180454616048145
75% Corpus,5,0.31,0.9099999999999999,0.5115288920803372
75% Corpus,5,0.31,symmetric,0.4370960513252209
75% Corpus,5,0.61,0.01,0.4804823139337245
75% Corpus,5,0.61,0.31,0.42986627719450227
75% Corpus,5,0.61,0.61,0.5561412901010607
75% Corpus,5,0.61,0.9099999999999999,0.6001304763479245
75% Corpus,5,0.61,symmetric,0.43847725147328936
75% Corpus,5,0.9099999999999999,0.01,0.4599718011923667
75% Corpus,5,0.9099999999999999,0.31,0.4351459834521532
75% Corpus,5,0.9099999999999999,0.61,0.5560735844170507
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4629077961297499
75% Corpus,5,0.9099999999999999,symmetric,0.4370602453534991
75% Corpus,5,symmetric,0.01,0.45060267015875083
75% Corpus,5,symmetric,0.31,0.4258662056908328
75% Corpus,5,symmetric,0.61,0.43973853649350725
75% Corpus,5,symmetric,0.9099999999999999,0.48721662480199157
75% Corpus,5,symmetric,symmetric,0.42515846244662425
75% Corpus,5,asymmetric,0.01,0.44653516260436216
75% Corpus,5,asymmetric,0.31,0.47495710968119165
75% Corpus,5,asymmetric,0.61,0.47846646810663085
75% Corpus,5,asymmetric,0.9099999999999999,0.5953892683249549
75% Corpus,5,asymmetric,symmetric,0.48984277889234884
75% Corpus,6,0.01,0.01,0.4176744920202627
75% Corpus,6,0.01,0.31,0.38955080820821714
75% Corpus,6,0.01,0.61,0.4106750246652247
75% Corpus,6,0.01,0.9099999999999999,0.469139012611939
75% Corpus,6,0.01,symmetric,0.4114394419495729
75% Corpus,6,0.31,0.01,0.4354347524326192
75% Corpus,6,0.31,0.31,0.4332704047456279
75% Corpus,6,0.31,0.61,0.5765369862513534
75% Corpus,6,0.31,0.9099999999999999,0.4775418961987497
75% Corpus,6,0.31,symmetric,0.45279454031715916
75% Corpus,6,0.61,0.01,0.42889768988085225
75% Corpus,6,0.61,0.31,0.4823018601615765
75% Corpus,6,0.61,0.61,0.5324106197655679
75% Corpus,6,0.61,0.9099999999999999,0.6697629628310375
75% Corpus,6,0.61,symmetric,0.45743440452188633
75% Corpus,6,0.9099999999999999,0.01,0.4166607777177819
75% Corpus,6,0.9099999999999999,0.31,0.5062259748392951
75% Corpus,6,0.9099999999999999,0.61,0.5201863677789602
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5448664133350193
75% Corpus,6,0.9099999999999999,symmetric,0.42376713240284175
75% Corpus,6,symmetric,0.01,0.42082312908237274
75% Corpus,6,symmetric,0.31,0.3985688283216233
75% Corpus,6,symmetric,0.61,0.4224737205318277
75% Corpus,6,symmetric,0.9099999999999999,0.527268244560369
75% Corpus,6,symmetric,symmetric,0.40099599549266135
75% Corpus,6,asymmetric,0.01,0.45090689174395027
75% Corpus,6,asymmetric,0.31,0.4716160560664764
75% Corpus,6,asymmetric,0.61,0.4631508291386235
75% Corpus,6,asymmetric,0.9099999999999999,0.552062035608739
75% Corpus,6,asymmetric,symmetric,0.41669517949474333
75% Corpus,7,0.01,0.01,0.4075502707319706
75% Corpus,7,0.01,0.31,0.40980884149188107
75% Corpus,7,0.01,0.61,0.41185952866779935
75% Corpus,7,0.01,0.9099999999999999,0.4291737752659781
75% Corpus,7,0.01,symmetric,0.4099375758241489
75% Corpus,7,0.31,0.01,0.4336601319537223
75% Corpus,7,0.31,0.31,0.42069489694415685
75% Corpus,7,0.31,0.61,0.4695564906728706
75% Corpus,7,0.31,0.9099999999999999,0.5005633843675631
75% Corpus,7,0.31,symmetric,0.4396445718239107
75% Corpus,7,0.61,0.01,0.4270579220318424
75% Corpus,7,0.61,0.31,0.40216755651779795
75% Corpus,7,0.61,0.61,0.4671631708038685
75% Corpus,7,0.61,0.9099999999999999,0.5453751521467823
75% Corpus,7,0.61,symmetric,0.4273906182541847
75% Corpus,7,0.9099999999999999,0.01,0.412021867162703
75% Corpus,7,0.9099999999999999,0.31,0.40950738886302274
75% Corpus,7,0.9099999999999999,0.61,0.4668015631933708
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5844165337627738
75% Corpus,7,0.9099999999999999,symmetric,0.4209817066712899
75% Corpus,7,symmetric,0.01,0.42153439546237365
75% Corpus,7,symmetric,0.31,0.4150306765830432
75% Corpus,7,symmetric,0.61,0.47462546081443485
75% Corpus,7,symmetric,0.9099999999999999,0.42753932730068767
75% Corpus,7,symmetric,symmetric,0.4359574888831371
75% Corpus,7,asymmetric,0.01,0.4254495287022732
75% Corpus,7,asymmetric,0.31,0.5505940485127448
75% Corpus,7,asymmetric,0.61,0.6193676414223288
75% Corpus,7,asymmetric,0.9099999999999999,0.6071947865154631
75% Corpus,7,asymmetric,symmetric,0.47594281870085486
75% Corpus,8,0.01,0.01,0.4362221311486415
75% Corpus,8,0.01,0.31,0.3961977303369394
75% Corpus,8,0.01,0.61,0.38392186107827775
75% Corpus,8,0.01,0.9099999999999999,0.3416065847661758
75% Corpus,8,0.01,symmetric,0.46214770602855504
75% Corpus,8,0.31,0.01,0.46206200614603915
75% Corpus,8,0.31,0.31,0.39401650185117354
75% Corpus,8,0.31,0.61,0.37954432427670265
75% Corpus,8,0.31,0.9099999999999999,0.3710160568553381
75% Corpus,8,0.31,symmetric,0.4784557221387167
75% Corpus,8,0.61,0.01,0.4287055565706135
75% Corpus,8,0.61,0.31,0.4553918373781701
75% Corpus,8,0.61,0.61,0.5648930792876863
75% Corpus,8,0.61,0.9099999999999999,0.581388213760669
75% Corpus,8,0.61,symmetric,0.45190069954192286
75% Corpus,8,0.9099999999999999,0.01,0.44356835384646964
75% Corpus,8,0.9099999999999999,0.31,0.3851386463027981
